File_Name,CDS_Length,GC_Content
IL-6
NM_000600.5.fasta,636,50.31%
NM_012589.2.fasta,633,42.02%
NM_031168.2.fasta,633,41.39%
NM_173923.2.fasta,624,46.96%
INS
NM_000207.3(Homo sapiens insulin (INS)).fasta,330,64.85%
NM_008386.4(Mus musculus insulin I).fasta,324,60.19%
NM_019129.3(Rattus norvegicus insulin 1 (Ins1).fasta,330,60.91%
NM_173926.2(Bos taurus insulin (INS)).fasta,315,72.38%
